cell_labels,phenograph
583,11
587,19
591,19
592,9
595,1
598,16
599,10
600,1
601,10
603,3
605,24
606,22
609,2
610,16
615,37
616,19
617,7
619,9
620,23
621,26
622,11
624,11
625,11
626,-1
627,11
628,37
629,10
631,1
632,4
633,19
635,6
636,12
637,11
638,6
639,20
644,1
648,23
649,18
650,10
653,24
654,23
655,10
656,20
658,10
659,23
660,23
661,11
663,23
664,11
666,18
669,23
670,23
672,12
673,10
674,26
675,11
676,11
677,24
678,16
679,23
682,8
684,18
685,9
687,22
689,19
690,16
694,3
695,6
698,2
699,11
703,9
707,9
708,10
709,11
713,25
714,16
715,22
717,18
718,11
719,11
720,11
721,22
725,10
726,22
729,14
732,10
735,37
736,9
737,22
738,16
740,3
741,11
742,16
743,9
744,9
750,6
751,14
752,11
753,25
754,16
755,26
756,22
759,37
760,11
761,19
762,9
763,22
767,9
768,11
771,6
773,11
775,26
778,10
783,37
784,11
785,10
786,10
790,12
791,10
792,26
793,26
798,37
799,24
800,10
801,23
803,10
804,10
805,11
806,11
807,26
808,8
809,11
811,16
812,9
815,37
816,25
817,10
821,9
823,6
824,10
827,13
831,9
832,15
838,9
840,19
843,37
848,8
849,1
850,15
851,11
853,10
854,25
859,11
861,11
862,11
863,10
864,10
865,9
866,10
868,1
869,19
871,37
872,23
876,1
877,11
878,9
879,10
880,10
881,10
883,16
884,11
885,19
889,19
894,5
897,19
898,19
899,9
900,16
901,16
903,16
904,11
907,11
910,9
911,10
913,18
914,17
915,10
916,10
917,10
920,37
921,10
922,16
923,12
930,37
932,11
934,14
935,10
936,10
937,11
938,29
941,10
943,11
944,11
947,9
948,11
950,1
951,11
954,1
956,20
957,11
958,23
959,22
960,24
961,12
963,19
964,9
966,19
967,10
968,9
969,20
981,9
984,9
985,9
988,12
989,12
990,11
991,25
993,10
998,30
999,18
1000,12
1001,16
1004,2
1005,17
1006,10
1009,19
1011,33
1015,16
1016,11
1017,10
1018,1
1020,11
1021,22
1022,16
1025,25
1026,11
1027,19
1028,9
1029,10
1030,25
1032,12
1033,12
1034,16
1035,2
1040,10
1044,12
1045,31
1048,12
1051,12
1052,2
1053,11
1054,9
1058,12
1059,2
1062,19
1066,20
1071,18
1072,18
1073,11
1074,2
1075,11
1078,19
1079,10
1080,22
1081,11
1082,10
1084,2
1085,6
1086,22
1088,15
1089,2
1092,17
1093,17
1094,12
1095,2
1096,2
1097,2
1098,1
1099,2
1101,17
1102,2
1103,2
1108,2
1109,2
1110,2
1111,11
1114,2
1115,10
1116,9
1117,16
1118,22
1120,2
1121,2
1122,18
1123,16
1126,10
1127,11
1128,11
1130,16
1131,2
1134,1
1135,2
1136,22
1138,18
1139,37
1140,3
1142,12
1143,22
1144,19
1145,11
1146,11
1148,11
1152,12
1153,37
1154,37
1159,1
1160,16
1162,1
1163,37
1164,6
1165,1
1166,2
1167,10
1168,37
1169,37
1170,25
1173,12
1176,18
1177,2
1178,37
1179,37
1180,13
1181,13
1182,24
1186,13
1187,37
1188,6
1190,2
1191,11
1192,9
1193,16
1197,16
1199,37
1200,37
1201,22
1205,17
1206,6
1207,1
1208,23
1209,3
1211,22
1212,5
1213,4
1214,9
1219,4
1220,5
1221,2
1222,2
1226,1
1227,37
1228,2
1229,10
1233,37
1234,37
1239,15
1240,23
1241,15
1243,26
1244,6
1245,15
1246,8
1247,13
1248,5
1249,11
1251,22
1253,13
1254,3
1255,8
1256,1
1260,5
1261,37
1262,37
1264,37
1265,3
1266,6
1268,18
1269,37
1271,3
1272,4
1273,37
1274,1
1275,1
1277,16
1278,37
1279,37
1280,1
1281,1
1284,11
1285,2
1286,4
1287,11
1290,37
1291,10
1292,10
1293,20
1297,12
1298,3
1299,1
1302,7
1303,3
1304,8
1307,3
1308,10
1312,8
1313,3
1314,37
1316,4
1317,4
1318,37
1319,37
1325,37
1326,30
1329,4
1330,37
1331,37
1332,6
1333,20
1337,2
1338,5
1339,3
1340,10
1345,16
1346,15
1347,3
1348,5
1349,37
1350,9
1355,2
1356,4
1357,6
1359,6
1362,17
1363,37
1366,1
1367,22
1368,1
1369,7
1370,1
1372,17
1373,2
1374,1
1378,1
1379,3
1380,13
1381,1
1384,1
1388,4
1389,37
1390,6
1392,11
1393,3
1394,37
1395,4
1396,30
1397,4
1398,3
1399,10
1403,4
1404,3
1405,1
1407,3
1408,37
1409,4
1410,10
1413,18
1414,1
1416,7
1419,3
1420,11
1421,10
1422,6
1423,1
1424,37
1425,9
1427,37
1428,37
1429,37
1430,9
1431,10
1433,30
1434,11
1436,37
1437,30
1438,4
1439,37
1440,2
1441,37
1446,18
1447,37
1448,3
1449,4
1452,37
1453,37
1454,1
1455,7
1459,37
1460,7
1461,1
1462,1
1463,11
1466,1
1467,6
1469,6
1470,27
1473,6
1474,3
1475,6
1476,10
1477,37
1478,10
1484,17
1486,3
1487,30
1488,37
1489,37
1490,6
1494,7
1495,4
1496,7
1497,4
1499,2
1500,4
1501,7
1502,1
1503,8
1504,3
1507,37
1508,10
1510,23
1511,7
1514,17
1515,4
1516,6
1517,3
1521,1
1522,13
1523,10
1529,4
1532,2
1533,1
1534,37
1537,3
1538,3
1539,5
1540,3
1544,18
1545,4
1546,21
1547,2
1551,3
1552,1
1553,4
1554,4
1557,2
1558,3
1559,16
1560,16
1562,12
1563,37
1565,1
1566,1
1567,3
1568,21
1570,7
1573,5
1574,37
1575,6
1577,21
1579,9
1585,5
1586,2
1587,26
1591,11
1592,2
1593,1
1594,7
1595,4
1596,37
1597,2
1602,3
1603,3
1604,3
1605,21
1608,30
1609,8
1610,1
1611,23
1613,21
1615,5
1616,3
1617,6
1618,11
1619,1
1620,4
1621,5
1623,18
1624,30
1625,4
1626,4
1627,6
1628,21
1629,8
1630,3
1631,19
1632,24
1633,26
1637,2
1638,10
1640,21
1643,5
1646,3
1647,3
1648,2
1652,6
1656,3
1657,4
1662,7
1663,3
1664,26
1669,12
1670,1
1671,4
1672,3
1674,6
1675,12
1676,4
1677,7
1678,1
1679,13
1681,12
1682,7
1685,7
1686,3
1687,26
1690,1
1691,14
1693,1
1694,23
1698,37
1699,1
1700,4
1703,3
1704,6
1705,6
1706,3
1712,37
1713,1
1714,3
1715,4
1717,7
1718,7
1719,10
1720,16
1722,4
1723,8
1724,1
1725,2
1728,30
1729,1
1730,4
1731,6
1734,17
1740,37
1741,4
1742,6
1743,10
1747,37
1748,3
1751,18
1752,8
1754,20
1755,6
1758,14
1759,4
1761,12
1762,7
1763,1
1764,3
1765,2
1767,4
1771,3
1772,1
1775,37
1776,8
1777,30
1778,4
1782,37
1786,12
1787,4
1790,4
1791,20
1793,30
1794,3
1795,31
1796,10
1797,4
1798,3
1800,3
1801,11
1805,8
1806,3
1807,3
1812,5
1813,3
1814,30
1815,37
1816,37
1820,18
1821,2
1822,13
1823,7
1824,22
1826,7
1828,8
1829,3
1831,3
1832,3
1834,18
1837,15
1838,-1
1839,6
1840,30
1841,3
1842,9
1845,6
1846,3
1847,3
1853,3
1854,3
1857,37
1858,6
1859,1
1860,3
1863,18
1864,3
1865,37
1866,3
1867,1
1868,3
1869,2
1873,2
1874,6
1875,12
1876,4
1879,3
1880,7
1885,4
1890,12
1891,37
1892,6
1893,37
1894,12
1897,14
1898,3
1901,14
1902,18
1903,12
1904,4
1907,1
1908,1
1909,11
1911,4
1912,37
1913,1
1916,4
1917,14
