id,phenograph,ct_broad
583,13,immune cell
587,17,myofibroblast
591,17,myofibroblast
592,9,other
595,3,epithelial cell
598,18,immune cell
599,-1,other
600,3,cancer cell
601,-1,other
603,11,cancer cell
605,26,other
606,8,other
609,2,cancer cell
610,18,immune cell
615,5,cancer cell
616,17,myofibroblast
617,1,cancer cell
619,9,other
620,25,immune cell
621,29,other
622,13,immune cell
624,13,immune cell
625,13,immune cell
626,7,cancer cell
627,13,immune cell
628,5,cancer cell
629,-1,other
631,3,cancer cell
632,12,cancer cell
633,17,myofibroblast
635,34,cancer cell
636,14,stromal cell
637,13,immune cell
638,34,cancer cell
639,21,endothelial cell
644,3,cancer cell
648,25,immune cell
649,19,other
650,-1,other
653,26,immune cell
654,25,immune cell
655,-1,other
656,21,endothelial cell
658,-1,other
659,25,immune cell
660,25,immune cell
661,13,immune cell
663,25,immune cell
664,13,immune cell
666,19,other
669,25,immune cell
670,25,immune cell
672,14,stromal cell
673,-1,other
674,29,other
675,13,immune cell
676,13,immune cell
677,26,immune cell
678,18,immune cell
679,25,immune cell
682,6,cancer cell
684,19,other
685,9,other
687,8,other
689,17,myofibroblast
690,18,immune cell
694,11,cancer cell
695,34,cancer cell
698,2,cancer cell
699,13,immune cell
703,9,other
707,9,other
708,-1,other
709,13,immune cell
713,27,stromal cell
714,18,immune cell
715,8,other
717,19,other
718,13,immune cell
719,13,immune cell
720,13,immune cell
721,8,other
725,-1,other
726,8,other
729,16,other
732,-1,other
735,5,cancer cell
736,9,other
737,8,other
738,18,immune cell
740,11,cancer cell
741,13,immune cell
742,18,immune cell
743,9,other
744,9,other
750,34,cancer cell
751,16,other
752,13,immune cell
753,27,stromal cell
754,18,immune cell
755,29,other
756,8,other
759,5,cancer cell
760,13,immune cell
761,17,myofibroblast
762,9,other
763,8,other
767,9,other
768,13,immune cell
771,34,cancer cell
773,13,immune cell
775,29,other
778,-1,other
783,5,cancer cell
784,13,immune cell
785,-1,other
786,-1,other
790,14,stromal cell
791,-1,other
792,29,other
793,29,other
798,5,cancer cell
799,26,other
800,-1,other
801,25,immune cell
803,-1,other
804,-1,other
805,13,immune cell
806,13,immune cell
807,29,other
808,6,cancer cell
809,13,immune cell
811,18,immune cell
812,9,other
815,5,cancer cell
816,27,stromal cell
817,-1,other
821,9,other
823,34,cancer cell
824,-1,other
827,20,cancer cell
831,9,other
832,22,stromal cell
838,9,other
840,17,myofibroblast
843,5,cancer cell
848,6,cancer cell
849,3,cancer cell
